date,norad,alt
2026-07-03,46784,245.5
2026-07-02,46786,351.9
2026-07-03,46786,351.4
2026-07-02,46794,352.5
2026-07-03,46794,352.1
2026-07-02,46796,239.9
2026-07-03,46796,234.3
2026-07-02,47122,354.0
2026-07-03,47122,353.7
2026-07-02,47135,348.3
2026-07-03,47135,347.8
2026-07-02,47143,356.1
2026-07-03,47143,355.9
2026-07-02,47157,458.2
2026-07-03,47157,458.0
2026-07-02,47158,316.0
2026-07-03,47158,315.5
2026-07-02,47161,246.7
2026-07-03,47161,241.6
2026-07-02,47171,354.8
2026-07-03,47171,354.8
2026-07-02,47178,335.2
2026-07-03,47178,335.2
2026-07-02,47374,201.5
2026-07-03,47374,186.3
2026-07-02,47380,320.5
2026-07-03,47380,319.9
2026-07-02,47392,300.3
2026-07-03,47392,299.6
2026-07-02,47404,290.3
2026-07-03,47404,289.4
2026-07-02,47555,444.9
2026-07-03,47555,444.8
2026-07-02,47563,256.9
2026-07-03,47563,254.4
2026-07-02,47568,297.6
2026-07-03,47568,296.9
2026-07-02,47589,318.7
2026-07-03,47589,318.2
2026-07-02,47590,322.3
2026-07-03,47590,321.9
2026-07-02,47592,207.8
2026-07-03,47592,198.4
2026-07-02,47596,348.4
2026-07-03,47596,348.2
2026-07-02,47604,188.1
2026-07-03,47604,160.7
2026-07-02,47621,427.7
2026-07-03,47621,427.5
2026-07-02,47625,370.9
2026-07-03,47625,370.4
2026-07-02,47627,364.9
2026-07-03,47627,364.9
2026-07-02,47641,317.1
2026-07-03,47641,316.6
2026-07-02,47649,281.2
2026-07-03,47649,281.2
2026-07-02,47650,443.6
2026-07-03,47650,443.6
2026-07-02,47652,362.3
2026-07-03,47652,360.9
2026-07-02,47657,328.4
2026-07-03,47657,328.0
2026-07-02,47676,316.6
2026-07-03,47676,316.1
2026-07-02,47728,374.5
2026-07-03,47728,372.6
2026-07-02,47731,297.3
2026-07-03,47731,296.4
2026-07-02,47736,436.0
2026-07-03,47736,436.0
2026-07-02,47745,351.7
2026-07-03,47745,349.9
2026-07-02,47746,426.9
2026-07-03,47746,426.7
2026-07-02,47748,276.1
2026-07-03,47748,274.2
2026-07-02,47749,318.5
2026-07-03,47749,317.8
